example_id                                             | status | run_time        |
./spec/models/user_spec.rb[1:10]                       | passed | 0.01947 seconds |
./spec/models/user_spec.rb[1:11]                       | passed | 0.01933 seconds |
./spec/models/user_spec.rb[1:12]                       | passed | 0.01582 seconds |
./spec/requests/oauth_password_flow_spec.rb[1:1]       | passed | 0.03658 seconds |
./spec/requests/oauth_password_flow_spec.rb[1:2]       | passed | 0.01554 seconds |
./spec/resources/v1/aauction_resource_spec.rb[1:1]     | passed | 0.00113 seconds |
./spec/resources/v1/aauction_resource_spec.rb[1:2]     | passed | 0.00112 seconds |
./spec/resources/v1/aauction_resource_spec.rb[1:3]     | passed | 0.0147 seconds  |
./spec/resources/v1/organization_resource_spec.rb[1:1] | passed | 0.00271 seconds |
./spec/resources/v1/organization_resource_spec.rb[1:2] | passed | 0.00093 seconds |
./spec/resources/v1/organization_resource_spec.rb[1:3] | passed | 0.00095 seconds |
./spec/resources/v1/user_resource_spec.rb[1:1]         | passed | 0.0011 seconds  |
./spec/resources/v1/user_resource_spec.rb[1:2]         | passed | 0.00123 seconds |
./spec/resources/v1/user_resource_spec.rb[1:3]         | passed | 0.00114 seconds |
